source_id,class_of_substance,substance,purpose,products,amount_pickle,amount_dry_cure,amount_chopped,ceiling_note,cfr_pincite
06,Curing Agents,Sodium or potassium nitrate,Source of nitrite,"Cured meat products other than bacon (nitrates prohibited in baby/junior/toddler food); cured comminuted poultry or poultry products","7 lb to 100 gal pickle","3.5 oz to 100 lb meat or poultry product (dry cure)","2.75 oz to 100 lb chopped meat or poultry",,9 CFR 424.21(c)
06,Curing Agents,Sodium or potassium nitrite,To fix color,"Cured meat and poultry products (nitrites prohibited in baby/junior/toddler food)","2 lb to 100 gal pickle at 10 percent pump level","1 oz to 100 lb meat or poultry product (dry cure)","0.25 oz to 100 lb chopped meat, meat byproduct or poultry product","Use of nitrites, nitrates, or combination shall not result in more than 200 ppm of nitrite, calculated as sodium nitrite, in the finished product (except bacon, governed separately by 9 CFR 424.22(b))",9 CFR 424.21(c)
