#,סוג בשר,נתח,English Name,יעד — סו-ויד+עישון,יעד — עישון בלבד,טמפ' בטיחות,זמן כולל — סו-ויד+עישון,זמן — עישון בלבד,הפרש זמן כולל,זמן מעשנת שנחסך,רמת קושי,צריבה — סו-ויד,צריבה — עישון,פחם מומלץ
54,בקר,שייטל,Top Round,57,57,63,10.75,3,7.75,2.25,2,כן,כן,Fogo Premium
55,בקר,שפיץ צ'אך,Rump Roast,57,57,63,8.75,3,5.75,2.25,2,כן,כן,Fogo Premium
56,בקר,זנב שור,Oxtail,95,95,63,26,6,20,4,4,לא,לא,Fogo Super Premium
57,בקר,עצמות מח עצם,Beef Marrow Bones,65,68,63,1.5,1.5,0,1,2,לא,לא,Weber Lump
58,טלה,אסאדו טלה,Lamb Plate Ribs,92,93,63,20,5,15,3,4,לא,לא,Fogo Premium
59,טלה,צוואר טלה,Lamb Neck,92,93,63,22,5,17,3,4,לא,לא,Fogo Premium
60,טלה,מותן טלה,Lamb Loin,58,60,63,3.5,2,1.5,1.5,2,כן,כן,Kamado Joe
61,חזיר,לחי חזיר,Pork Cheek (Jowl),90,92,63,25.5,4,21.5,2.5,4,לא,לא,Fogo Premium
62,חזיר,פרק חזיר,Pork Hock,94,95,63,26,5,21,3,4,לא,לא,Fogo Premium
63,חזיר,חזה חזיר עם עצם,Picnic Shoulder,95,95,63,27,8,19,5,4,לא,לא,Fogo Super Premium
64,חזיר,ריבס אמריקאי,Baby Back Ribs,92,93,63,14,5,9,3,3,לא,לא,Weber Lump
65,חזיר,אוזן חזיר,Pork Ear,78,75,63,8.5,1.5,7,1,2,כן,כן,Weber Lump
66,חזיר,זנב חזיר,Pork Tail,80,80,63,12.75,2.5,10.25,1.75,2,כן,כן,Weber Lump
67,עוף,כרעיים,Chicken Leg Quarters,80,80,74,2.67,2,0.6699999999999999,1.33,1,כן,לא,Weber Lump
68,הודו,כנפי הודו,Turkey Wings,80,80,74,5,3,2,2,2,לא,לא,Fogo Premium
